idprecios_gas_natural_publicacion,anio,mes,distribuidoras,gnc,usina,industria,otros,ppp,indice_tiempo
155,2019,1,3.812843,3.575760,2.919521,3.609444,3.787150,3.357506,2019-01
156,2019,2,3.840500,3.359234,2.621790,3.610802,3.437736,3.220351,2019-02
157,2019,3,3.801682,3.381602,2.663115,3.620611,3.323267,3.310344,2019-03
158,2019,4,4.134680,3.266402,2.668414,3.487033,4,3.346698,2019-04
133,2018,1,3.76,4.25,4.89,3.97,4.49,4.36,2018-01
134,2018,2,3.67,4.03,4.88,4.03,4.42,4.33,2018-02
135,2018,3,3.89,4.17,4.97,3.96,4.4,4.32,2018-03
136,2018,4,4.42,4.03,4.44,3.98,4.45,4.22,2018-04
137,2018,5,4.45,3.87,4.26,4.72,4.5,4.48,2018-05
139,2018,6,4.53,3.91,4.41,4.78,4.5,4.57,2018-06
140,2018,7,4.521178,3.352897,4.07136,4.767482,4.5,4.436027,2018-07
141,2018,8,4.42897,2.811077,3.441079,4.782871,4.5,4.179075,2018-08
146,2018,9,4.227752,2.978681,3.54511,4.570811,4.5,4.088338,2018-09
149,2018,10,3.920273,3.376192,3.595859,3.941476,3.369193,3.80869,2018-10
151,2018,11,3.827272,3.367203,3.530642,3.898189,,3.749884,2018-11
153,2018,12,3.876065,3.701697,3.332795,3.729798,4,3.618025,2018-12
