Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
2018-06-18,6,2018,Unprovoked,United States of America,standing,F,11.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-06-09,6,2018,Invalid,United States of America,surf,M,48.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-06-08,6,2018,Unprovoked,Australia,surf,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-06-04,6,2018,Provoked,Mexico,diving,M,,injury,N,tiger,México,Mexico,Mexique,MX,MEX,52
2018-06-03,6,2018,Unprovoked,Australia,surf,M,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-06-03,6,2018,Unprovoked,Brazil,swimming,M,18.0,fatal,Y,tiger,Brasil,Brazil,Brésil,BR,BRA,55
2018-05-27,5,2018,Unprovoked,United States of America,fishing,M,52.0,injury,N,lemon,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-05-26,5,2018,Unprovoked,United States of America,walking,M,15.0,injury,N,bull,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-05-26,5,2018,Unprovoked,United States of America,standing,M,12.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-05-21,5,2018,Unprovoked,United States of America,surf,M,10.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-05-13,5,2018,Unprovoked,United States of America,swimming,M,10.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-05-13,5,2018,Invalid,United Kingdom,fishing,M,21.0,injury,N,,Reino Unido,United Kingdom,Royaume-Uni,GB,GBR,44
2018-05-12,5,2018,Unprovoked,South Africa,surf,M,,injury,N,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
2018-05-09,5,2018,Questionable,Australia,surf,M,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-30,4,2018,Unprovoked,Thailand,swimming,M,,injury,N,,Tailandia,Thailand,Thaïlande,TH,THA,66
2018-04-28,4,2018,Unprovoked,Costa Rica,diving,M,30.0,no injury,N,tiger,Costa Rica,Costa Rica,Costa Rica,CR,CRI,506
2018-04-28,4,2018,Unprovoked,Australia,surf,M,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-25,4,2018,Questionable,Australia,surf,M,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-25,4,2018,Unprovoked,Australia,surf,M,60.0,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-24,4,2018,Unprovoked,Australia,surf,M,,no injury,N,white,Australia,Australia,Australie,AU,AUS,61
2018-04-23,4,2018,Unprovoked,Maldives,fishing,M,32.0,injury,N,tiger,Islas Maldivas,Maldives,Maldives,MV,MDV,960
2018-04-19,4,2018,Unprovoked,United States of America,surf,M,29.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-04-15,4,2018,Unprovoked,Thailand,swimming,M,54.0,injury,N,bull,Tailandia,Thailand,Thaïlande,TH,THA,66
2018-04-15,4,2018,Unprovoked,Brazil,swimming,M,34.0,injury,,,Brasil,Brazil,Brésil,BR,BRA,55
2018-04-15,4,2018,Unprovoked,Australia,surf,M,41.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-15,4,2018,Unprovoked,Australia,surf,M,37.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-04-14,4,2018,Unprovoked,Bahamas,surf,M,,no injury,N,tiger,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2018-04-10,4,2018,Invalid,Brazil,fishing,M,56.0,injury,N,,Brasil,Brazil,Brésil,BR,BRA,55
2018-04-05,4,2018,Unprovoked,Bahamas,swimming,M,12.0,injury,N,bull,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2018-04-03,4,2018,Unprovoked,South Africa,surf,M,19.0,injury,N,white,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
2018-03-31,3,2018,Unprovoked,United States of America,boating,M,25.0,injury,N,tiger,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2018-03-14,3,2018,Unprovoked,Australia,walking,M,10.0,injury,N,wobbegong,Australia,Australia,Australie,AU,AUS,61
2018-03-09,3,2018,Unprovoked,Australia,swimming,M,69.0,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-03-09,3,2018,Unprovoked,Australia,surf,M,18.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-02-23,2,2018,Unprovoked,Australia,swimming,F,55.0,injury,N,white,Australia,Australia,Australie,AU,AUS,61
2018-02-18,2,2018,Provoked,Australia,fishing,M,34.0,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-02-15,2,2018,Unprovoked,Australia,walking,M,35.0,injury,N,bull,Australia,Australia,Australie,AU,AUS,61
2018-02-14,2,2018,Invalid,Australia,swimming,F,,no injury,N,wobbegong,Australia,Australia,Australie,AU,AUS,61
2018-02-03,2,2018,Unprovoked,Ecuador,diving,M,45.0,injury,N,galapagos,Ecuador,Ecuador,Equateur,EC,ECU,593
2018-02-01,2,2018,Invalid,Australia,fishing,M,14.0,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2018-01-21,1,2018,Unprovoked,New Caledonia,fishing,M,40.0,injury,N,bull,Nueva Caledonia,New Caledonia,Nouvelle-Calédonie,NC,NCL,687
2018-01-14,1,2018,Unprovoked,Australia,diving,M,,injury,N,grey reef shark,Australia,Australia,Australie,AU,AUS,61
2018-01-13,1,2018,Unprovoked,Australia,diving,M,28.0,no injury,N,white,Australia,Australia,Australie,AU,AUS,61
2018-01-12,1,2018,Unprovoked,Brazil,surf,M,20.0,injury,N,,Brasil,Brazil,Brésil,BR,BRA,55
2018-01-05,1,2018,Unprovoked,Australia,surf,M,,injury,N,wobbegong,Australia,Australia,Australie,AU,AUS,61
2017-12-31,12,2017,Unprovoked,United States of America,surf,F,54.0,injury,N,tiger,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-12-30,12,2017,Unprovoked,United States of America,surf,F,35.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-12-21,12,2017,Provoked,Malaysia,fishing,M,24.0,injury,N,nurse,Malasia,Malaysia,Malaisie,MY,MYS,60
2017-12-09,12,2017,Unprovoked,Bahamas,diving,F,25.0,injury,N,nurse,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2017-11-30,11,2017,Unprovoked,Costa Rica,diving,M,26.0,injury,N,tiger,Costa Rica,Costa Rica,Costa Rica,CR,CRI,506
2017-11-30,11,2017,Unprovoked,Costa Rica,diving,F,49.0,fatal,Y,tiger,Costa Rica,Costa Rica,Costa Rica,CR,CRI,506
2017-11-24,11,2017,Unprovoked,United States of America,fishing,M,25.0,injury,N,white,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-11-18,11,2017,Unprovoked,United States of America,surf,F,14.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-11-13,11,2017,Unprovoked,Australia,surf,M,25.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2017-11-04,11,2017,Unprovoked,Cuba,swimming,M,22.0,fatal,Y,tiger,Cuba,Cuba,Cuba,CU,CUB,53
2017-10-31,10,2017,Unprovoked,Australia,diving,M,7.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2017-10-28,10,2017,Unprovoked,Australia,surf,M,31.0,injury,N,wobbegong,Australia,Australia,Australie,AU,AUS,61
2017-10-26,10,2017,Unprovoked,United States of America,boating,M,,no injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-23,10,2017,Unprovoked,Mauritius,swimming,M,,injury,N,,Mauricio,Mauritius,Iles Maurice,MU,MUS,230
2017-10-23,10,2017,Unprovoked,United States of America,surf,M,17.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-23,10,2017,Unprovoked,United States of America,swimming,F,60.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-22,10,2017,Unprovoked,Australia,fishing,F,15.0,injury,N,white,Australia,Australia,Australie,AU,AUS,61
2017-10-21,10,2017,Unprovoked,New Zealand,boating,M,,no injury,N,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
2017-10-18,10,2017,Unprovoked,United States of America,swimming,M,,injury,N,spinner,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-09,10,2017,Unprovoked,United States of America,surf,M,54.0,injury,N,tiger,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-05,10,2017,Unprovoked,United States of America,diving,F,40.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-10-01,10,2017,Invalid,South Africa,diving,M,31.0,fatal,,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
2017-09-25,9,2017,Unprovoked,United States of America,surf,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-25,9,2017,Unprovoked,Australia,surf,M,,no injury,N,white,Australia,Australia,Australie,AU,AUS,61
2017-09-24,9,2017,Invalid,United States of America,surf,M,33.0,injury,,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-24,9,2017,Unprovoked,United States of America,surf,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-20,9,2017,Unprovoked,United States of America,surf,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-16,9,2017,Unprovoked,Spain,surf,M,13.0,injury,N,porbeagle,España,Spain,Espagne,ES,ESP,34
2017-09-16,9,2017,Unprovoked,United States of America,surf,M,28.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-15,9,2017,Invalid,South Africa,diving,M,25.0,fatal,,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
2017-09-15,9,2017,,Samoa,fishing,M,,injury,N,,Samoa,Samoa,Samoa,WS,WSM,685
2017-09-13,9,2017,Unprovoked,United States of America,surf,M,18.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-10,9,2017,Unprovoked,Australia,swimming,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2017-09-10,9,2017,Unprovoked,Australia,surf,M,35.0,injury,N,white,Australia,Australia,Australie,AU,AUS,61
2017-09-03,9,2017,Unprovoked,South Africa,swimming,M,,fatal,Y,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
2017-09-03,9,2017,Unprovoked,Japan,surf,M,42.0,injury,N,,Japón,Japan,Japon,JP,JPN,81
2017-09-02,9,2017,Unprovoked,United States of America,swimming,M,,injury,N,nurse,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-02,9,2017,Unprovoked,United States of America,swimming,F,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-09-02,9,2017,Unprovoked,United States of America,surf,M,17.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-08-29,8,2017,Unprovoked,Australia,surf,M,37.0,no injury,N,white,Australia,Australia,Australie,AU,AUS,61
2017-08-27,8,2017,Unprovoked,United States of America,walking,F,3.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-08-26,8,2017,Invalid,Spain,swimming,F,11.0,injury,,,España,Spain,Espagne,ES,ESP,34
2017-08-26,8,2017,Unprovoked,New Zealand,boating,M,,no injury,N,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
2017-08-18,8,2017,Unprovoked,Bahamas,fishing,M,,injury,N,,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2017-08-10,8,2017,Unprovoked,United States of America,swimming,M,13.0,injury,N,blacktip,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-08-05,8,2017,Unprovoked,Egypt,diving,F,20.0,injury,N,whitetip reef,Egipto,Egypt,Egypte,EG,EGY,20
2017-08-01,8,2017,Boating,United States of America,fishing,M,,no injury,N,white,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-07-31,7,2017,Unprovoked,United States of America,boating,M,15.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-07-29,7,2017,Invalid,United States of America,swimming,M,10.0,injury,,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2017-07-27,7,2017,Unprovoked,Bahamas,diving,F,,injury,N,,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2017-07-23,7,2017,Unprovoked,Spain,swimming,F,,injury,N,blue,España,Spain,Espagne,ES,ESP,34
